Semana,Día,Nombre de la Actividad,Descripción,Duración (min),Tipo de Ejercicio,Nivel de Intensidad,Equipo Necesario,1RM,Detalle de Series (peso-repeticiones-series),Partes del Cuerpo,Calorías,video_url
1,Lunes,Press de Banca,Ejercicio principal para pecho,45,Fuerza,Alto,Barra; Banco,100,(80-8-4);(85-6-3);(90-4-2),Pecho; Hombros; Tríceps,350,
1,Lunes,Sentadillas,Ejercicio fundamental para piernas,60,Fuerza,Alto,Barra; Rack,120,(100-6-4);(110-5-3);(120-3-2),Piernas; Glúteos,420,
1,Lunes,Remo con Barra,Ejercicio para espalda,50,Fuerza,Medio,Barra; Discos,90,(70-8-4);(75-6-3);(80-5-2),Espalda; Bíceps,280,
1,Lunes,Press Militar,Ejercicio para hombros,40,Fuerza,Medio,Barra; Rack,80,(60-6-4);(65-5-3);(70-4-2),Hombros; Tríceps,200,
1,Martes,Plancha abdominal,Ejercicio para core,30,Funcional,Medio,Ninguno,,(0-30-3);(0-45-2);(0-60-1),Core; Abdominales,150,
1,Martes,Flexiones,Ejercicio para pecho,25,Fuerza,Medio,Ninguno,,(0-10-3);(0-15-2);(0-20-1),Pecho; Hombros; Tríceps,180,
1,Martes,Burpees,Ejercicio cardiovascular,35,HIIT,Alto,Ninguno,,(0-8-4);(0-10-3);(0-12-2),Todo el cuerpo,300,
1,Miércoles,Descanso Activo,Recuperación y estiramientos,20,Flexibilidad,Bajo,Ninguno,,,,,100,
1,Jueves,Peso Muerto,Ejercicio para espalda baja,55,Fuerza,Alto,Barra; Discos,140,(120-5-4);(130-4-3);(140-3-2),Espalda; Glúteos; Piernas,380,
1,Jueves,Press de Hombros,Ejercicio para hombros,40,Fuerza,Medio,Mancuernas,60,(45-8-4);(50-6-3);(55-4-2),Hombros; Tríceps,220,
1,Jueves,Curl de Bíceps,Ejercicio para bíceps,30,Fuerza,Bajo,Mancuernas,30,(20-12-3);(22-10-2);(25-8-1),Bíceps,150,
1,Viernes,Sentadilla Búlgara,Ejercicio unilateral para piernas,40,Fuerza,Medio,Banco,80,(60-8-3);(65-6-2);(70-4-1),Piernas; Glúteos,250,
1,Viernes,Plancha Lateral,Ejercicio para oblicuos,25,Funcional,Medio,Ninguno,,(0-20-3);(0-30-2);(0-40-1),Core; Oblicuos,120,
1,Viernes,Mountain Climbers,Ejercicio cardiovascular,30,HIIT,Alto,Ninguno,,(0-20-4);(0-25-3);(0-30-2),Todo el cuerpo,280,
1,Sábado,Cardio Largo,Actividad cardiovascular,45,Cardio,Medio,Ninguno,,,,,400,
1,Domingo,Descanso,Descanso completo,0,Descanso,Bajo,Ninguno,,,,,0,
2,Lunes,Press de Banca,Ejercicio principal para pecho,45,Fuerza,Alto,Barra; Banco,105,(85-8-4);(90-6-3);(95-4-2),Pecho; Hombros; Tríceps,360,
2,Lunes,Sentadillas,Ejercicio fundamental para piernas,60,Fuerza,Alto,Barra; Rack,125,(105-6-4);(115-5-3);(125-3-2),Piernas; Glúteos,430,
2,Lunes,Remo con Barra,Ejercicio para espalda,50,Fuerza,Medio,Barra; Discos,95,(75-8-4);(80-6-3);(85-5-2),Espalda; Bíceps,290,
2,Lunes,Press Militar,Ejercicio para hombros,40,Fuerza,Medio,Barra; Rack,85,(65-6-4);(70-5-3);(75-4-2),Hombros; Tríceps,210,








































