Mes,Semana,Día,Nombre de la Actividad,Descripción,Duración (min),Tipo de Ejercicio,Nivel de Intensidad,Equipo Necesario,1RM,Detalle de Series (peso-repeticiones-series),Partes del Cuerpo,Calorías,video_url
1,1,Lunes,Press de Banca,Ejercicio principal para pecho,45,Fuerza,Alto,"Barra, Banco",100,"(80-8-4);(85-6-3);(90-4-2)","Pecho;Hombros;Tríceps",350,
1,2,Lunes,Sentadillas,Ejercicio fundamental para piernas,60,Fuerza,Alto,"Barra, Rack",120,"(100-6-4);(110-5-3);(120-3-2)","Piernas;Glúteos",420,
1,3,Lunes,Remo con Barra,Ejercicio para espalda,50,Fuerza,Medio,"Barra, Discos",90,"(70-8-4);(75-6-3);(80-5-2)","Espalda;Bíceps",280,
1,4,Lunes,Press Militar,Ejercicio para hombros,40,Fuerza,Medio,"Barra, Rack",80,"(60-6-4);(65-5-3);(70-4-2)","Hombros;Tríceps",200,

































